,LV 20-40,LV 20-60,LV 20-80,LV 20-90,LV 40-60,LV 40-80,LV 40-90,LV 60-80,LV 60-90,LV 80-90,LV 40-60-80,LV 40-60-80-90
mae,17.6899,11.1015,4.9213,4.5908,9.6665,4.5475,4.2176,4.6756,4.0733,3.6819,4.647,3.9673
r2,0.1436,0.6873,0.9355,0.9383,0.7586,0.9451,0.9456,0.9504,0.9506,0.9554,0.9483,0.9571
t statistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
ttest pvalue,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cohens d,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
LV slope,1.3837,0.956,0.638,0.343,0.8571,0.6344,0.4778,0.6847,0.4907,0.5584,0.5847,0.5208
LV intercept,1.5348,1.4339,1.2984,1.0762,1.3764,1.2952,1.1845,1.3389,1.1973,1.2402,1.262,1.2192
model intercept,60.1525,13.1399,-7.058,-4.5817,10.2641,-6.9086,-5.4822,-8.1382,-6.3208,-6.0964,-7.6567,-7.081
