,Stat Ind MVT,Stat Grp MVT,OLS,Lasso
t statistic,-4.918234761231781,-5.025862733727601,2.9612543806395014e-14,1.955013159865902e-14
ttest pvalue,9.495567240889515e-06,6.535599939095053e-06,0.9999999999999765,0.9999999999999845
Cohens d,0.14,0.14,0.0,0.0
