Exercise,Model,LV slope,LV intercept,model intercept
SM,OLS,0.40214168797262795,1.1251217346212063,-5.241220036533235
SM,Lasso,0.3611535848586901,1.0910027187054636,-4.679055373112561
FW,OLS,0.42120300024549373,1.0840162420367898,2.535853026700181
FW,Lasso,0.3603266338084118,1.0364822926717228,2.6228153358737814
