,LV 20-60,LV 20-80,LV 20-90,LV 40-60,LV 40-80,LV 60-80,LV 60-90,LV 80-90,LV 40-60-80,LV 40-60-80-90
mae,7.433,3.347,3.652,7.04,3.037,3.177,3.403,3.068,3.446,3.011
r2,0.825,0.969,0.941,0.846,0.973,0.973,0.957,0.965,0.97,0.97
