,LV 20-40,LV 20-60,LV 20-80,LV 20-90,LV 40-60,LV 40-80,LV 40-90,LV 60-80,LV 60-90,LV 80-90,LV 40-60-80,LV 40-60-80-90
0,0.8310809262913682,0.9489429171853963,0.9742586448486631,0.9727714252290658,0.9475705115263293,0.9815299054613402,0.980804300799221,0.9826162869219766,0.9818929639436186,0.9855587405006109,0.9815025498468385,0.9813943025424766
1,0.32462826011892487,0.789867244535733,0.9446144054316434,0.9829153361883398,0.859764276992768,0.9409817956421171,0.9861512769794507,0.9371806366564688,0.9868117408475353,0.9810158383777297,0.958974972605799,0.9835353440600569
2,0.21309304314096744,0.8655069344771175,0.8517220399248435,0.8896899673493073,0.9230907830609152,0.869198193981024,0.9064058790131182,0.9219540853129726,0.9391348023088886,0.9071449916637868,0.9115938847536705,0.9194094438891873
3,0.6603714097201324,0.5215647034379909,0.9684790535984297,0.9149328778866974,0.4959119766245397,0.9629551364693545,0.9209294321511787,0.9223850106332536,0.9185383667387348,0.9481057284835439,0.9265700589310888,0.9454003903656957
4,0.570830276798729,0.8245558806525402,0.980339982698666,0.9721157705381015,0.8836490751545621,0.9816625013851878,0.9735659096876116,0.9752869337291391,0.9742622992250203,0.9856629618495967,0.9736178428193447,0.9785016513264644
5,0.45785640631335633,0.8950860672111842,0.9381739416948096,0.9468312802087644,0.9384122948089404,0.957477389771797,0.9620832203756612,0.967647884185839,0.9702988390960977,0.9677489238081776,0.961699392255745,0.9682012659595935
6,0.7665101475763754,0.7618268530602288,0.959722021483566,0.9561081629427445,0.7894192175562477,0.9589993001543405,0.968011017896619,0.9529769711029188,0.9763927971531989,0.984392554164018,0.9573381053515684,0.9796838940284508
7,-3.1182853262964914,-0.06513600230668226,0.8172964606981697,0.7915008285548312,0.23889481060063333,0.8621950118891422,0.8051230421820881,0.9155979544038952,0.806668441710527,0.825715903058204,0.8800160287326265,0.8638840327183565
8,0.1704484169685836,0.5667447183487676,0.9562904899047261,0.9807715747154245,0.6980424049420595,0.9690501915523196,0.9846121301518662,0.9757713225662052,0.9883938462858841,0.9872995261960887,0.9696423046962399,0.9852103811012155
9,0.5597876534629224,0.764451519453358,0.9644056802775531,0.9756410905540078,0.8113899229572007,0.966835158246983,0.9678199243033789,0.9522503792572612,0.963653914001127,0.9814886518788002,0.961890925609174,0.9659250976754563
