,Stat Ind MVT,Stat Grp MVT,OLS,Lasso
t statistic,-8.87865779115996,-5.8472427571402354,-1.0330736950537939e-14,-7.300490286738088e-14
ttest pvalue,6.326160361066556e-12,3.555308243093048e-07,0.9999999999999918,0.999999999999942
Cohens d,0.17,0.17,0.0,0.0
