,LV 20-40,LV 20-60
mae,10.894952576951077,7.432764177749905
r2,0.5862244415177568,0.8248934622257151
t statistic,-2.5644516365953012e-14,-6.669692825998087e-14
ttest pvalue,0.9999999999999796,0.999999999999947
Cohens d,0.0,0.0
LV slope,1.4572574180753088,1.1425061876977423
LV intercept,1.6057812090308095,1.5131076856096857
model intercept,47.67430442274886,21.08493842477739
