,LV 20-40,LV 20-60,LV 20-80,LV 20-90,LV 40-60,LV 40-80,LV 40-90,LV 60-80,LV 60-90,LV 80-90,LV 40-60-80,LV 40-60-80-90
mae,16.8677,10.9324,4.4423,4.1333,10.1983,4.7621,5.1131,6.7294,5.947,10.2327,4.8102,4.5227
r^2,0.2124,0.5437,0.9343,0.9304,0.6973,0.9,0.9025,0.8335,0.8853,0.5901,0.8959,0.8945
t statistic,0.8411,-0.6478,0.5289,0.7055,-0.0944,0.056,-0.263,0.4753,0.4425,-0.1783,0.6569,-0.5855
ttest pvalue,0.4042,0.52,0.5992,0.4837,0.9252,0.9555,0.7936,0.6366,0.66,0.8592,0.5142,0.5608
Cohens d,-0.03,0.02,-0.01,-0.01,0.0,-0.0,0.0,-0.01,-0.01,0.0,-0.01,0.01
